X	Partial	Continuous
1	5.5730	4.9020
2	6.7800	6.2160
3	5.9260	4.8420
4	7.3470	4.9500
5	6.8750	4.3560
6	5.8220	4.5400
7	5.3650	2.9380
8	3.9610	2.5870
9	5.8400	2.8940
10	6.0240	4.6810
11	5.6280	2.9260
12	6.4080	3.2320
13	4.6220	2.7290
14	4.0430	2.3030
15	2.5480	1.3570
16	2.4420	1.7090
17	1.8470	1.7400
18	2.6570	1.9860
